"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210422_agerepro.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:43:12:247 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","21","441","10","0","0.7365800865800866","0","1.0782852686529156","133","27","106","129","164","0","15"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","18","631","1","17","0.05263157894736842","0.8709677419354839","2.9473684210526314","565","202","363","7","17","11","31"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","22","444","13","0","1.0373949579831931","0","1.0031454085130556","81","8","73","152","188","0","23"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","19","576","1","15","0","0.9375","3.9473684210526314","526","181","345","10","21","3","16"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","20","537","1","11","0.05","0.5555555555555556","4.897368421052631","480","160","320","16","30","2","9"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","21","492","1","9","0","0.2857142857142857","5.897368421052631","407","135","272","28","50","0","7"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","22","466","2","6","0.08333333333333333","0.5","3.907017543859649","335","106","229","49","74","0","8"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","23","443","17","0","1.4345217046455436","0","0.9746249237569125","58","3","55","160","201","0","24"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","23","447","4","4","0.210207336523126","0.16666666666666666","1.9242025518341308","269","79","190","68","92","0","18"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","24","448","20","0","1.7825992420032666","0","0.9596012840876824","46","0","46","163","212","0","27"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","24","426","8","2","0.5503389154704944","0.07142857142857142","1.1717329545454545","199","59","140","79","134","0","14"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","25","452","20","0","1.865242415822911","0","0.9547179434132385","47","0","47","164","214","0","27"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","25","421","10","0","0.6647996997842198","0","1.0506933254761235","142","42","100","95","169","0","15"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","26","459","20","0","2.3062734436186454","0","0.9324222249897296","48","0","48","169","209","0","33"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","26","412","12","0","0.6774891774891776","0","1.031100345665579","98","24","74","111","188","0","15"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","27","465","20","0","2.7769161749021087","0","0.9077753025043812","41","0","41","169","213","0","42"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","27","403","16","0","0.7523480604362958","0","1.0174220178268303","60","11","49","124","202","0","17"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","28","465","20","0","2.941660764229414","0","0.8983057269137487","35","0","35","172","213","0","45"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","28","400","19","0","1.533651071151071","0","0.9728300498250398","43","5","38","130","209","0","18"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","29","473","20","0","3.3816391468868243","0","0.8758333290013463","33","0","33","173","214","0","53"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","29","405","19","0","2.0897907647907648","0","0.9412125939491723","30","1","29","135","214","0","26"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","30","478","20","0","3.5546568627450976","0","0.8660588233128124","31","0","31","173","219","0","55"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","31","483","20","0","3.78746491726368","0","0.8539296953024568","27","0","27","174","222","0","60"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","30","412","19","0","2.5845347634821323","0","0.9135093594982652","21","1","20","137","220","0","34"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","31","418","20","0","3.2426091839017532","0","0.8835450087798256","12","0","12","141","221","0","44"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","32","492","20","0","4.045716607094316","0","0.8404106544104071","29","0","29","176","222","0","65"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","33","490","20","0","4.176197890516776","0","0.8332106381946817","26","0","26","177","221","0","66"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","34","497","20","0","4.504101579124125","0","0.8164554529535278","21","0","21","178","224","0","74"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","35","501","20","0","4.733042275921533","0","0.8041706588515998","18","0","18","179","224","0","80"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","36","506","20","0","4.7456587441713305","0","0.8029255957340136","19","0","19","182","224","0","81"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","37","513","20","0","5.1455452344926025","0","0.7828690180620704","19","0","19","182","224","0","88"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","38","517","20","0","5.2061458593579335","0","0.7788361579352069","22","0","22","183","222","0","90"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","32","422","20","0","3.4736881539513123","0","0.8704928427414256","12","0","12","141","220","0","49"
