"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210413.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:19:59:008 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","23","433","1","0","0","0","0","64","10","54","148","195","0","26"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","24","441","2","0","0","0","0","48","5","43","153","208","0","32"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","17","619","0","11","0","0.625","0","574","210","364","14","15","0","16"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","25","446","2","0","0","0","0","40","1","39","158","212","0","36"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","26","451","2","0","0","0","0","30","0","30","160","217","0","44"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","18","566","1","9","0.16666666666666666","0.6521739130434783","0.8333333333333334","489","170","319","28","26","0","23"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","27","456","2","0","0","0","0","33","0","33","159","218","0","46"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","19","534","1","6","0.16666666666666666","0.3076923076923077","1.6666666666666667","429","145","284","45","47","0","13"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","28","461","2","0","0","0","0","29","0","29","161","219","0","52"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","20","507","1","2","0.16666666666666666","0","2.5","353","113","240","66","78","0","10"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","29","465","2","0","0","0","0","29","0","29","162","221","0","53"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","21","487","5","0","0.5357142857142857","0","1.3928571428571428","255","69","186","103","118","0","11"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","30","472","2","0","0","0","0","30","0","30","163","221","0","58"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","31","475","2","0","0","0","0","30","0","30","165","218","0","62"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","22","476","6","0","0.6904761904761905","0","1.117063492063492","168","44","124","126","169","0","13"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","32","480","2","0","0","0","0","28","0","28","166","220","0","66"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","23","464","13","0","1.0698235974551764","0","1.0036338380467935","94","19","75","147","207","0","16"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","33","484","2","0","0","0","0","28","0","28","166","221","0","69"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","24","474","16","0","2.3516927516927515","0","0.9157463178971277","60","7","53","161","224","0","29"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","34","484","2","0","0","0","0","23","0","23","167","221","0","73"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","25","464","19","0","2.788760259348494","0","0.9014203188709807","37","3","34","164","232","0","31"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","35","495","1","0","0","0","0","23","0","23","167","221","0","84"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","36","497","1","0","0","0","0","20","0","20","170","217","0","90"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","26","475","20","0","4.069407634848812","0","0.8416006342011084","30","0","30","167","233","0","45"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","37","500","1","0","0","0","0","21","0","21","173","215","0","91"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","27","483","20","0","4.980350858292035","0","0.7930624887954537","24","0","24","169","237","0","53"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","38","505","1","0","0","0","0","21","0","21","177","211","0","96"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","28","484","20","0","5.123097001038179","0","0.7834982743878639","22","0","22","171","237","0","54"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","39","510","0","0","0","0","0","18","0","18","177","212","0","103"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","29","486","20","0","5.087052202183781","0","0.7848223036102041","19","0","19","175","237","0","55"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","40","516","0","0","0","0","0","17","0","17","177","215","0","107"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","30","492","20","0","5.714424464424464","0","0.7535198919592869","14","0","14","175","240","0","63"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","41","525","1","0","0","0","0","19","0","19","179","215","0","112"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","42","535","1","0","0","0","0","25","0","25","180","215","0","115"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","31","493","20","0","5.947129667717903","0","0.7403195112120692","13","0","13","177","239","0","64"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","43","540","1","0","0","0","0","29","0","29","182","214","0","115"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","32","496","20","0","6.554292929292929","0","0.7093013290959569","10","0","10","178","236","0","72"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","44","547","1","0","0","0","0","38","0","38","182","213","0","114"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","33","504","20","0","6.863078261607672","0","0.6923111533744142","12","0","12","179","235","0","78"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","45","547","1","0","0","0","0","44","0","44","182","213","0","108"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","34","514","20","0","7.838798374827785","0","0.6426756389273314","12","0","12","181","232","0","89"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","46","546","1","0","0","0","0","45","0","45","185","211","0","105"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","35","521","20","0","8.169668893198304","0","0.6236503372864514","10","0","10","184","230","0","97"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","47","546","0","0","0","0","0","43","0","43","190","207","0","106"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","36","531","20","0","8.79957330251448","0","0.5912038517385986","10","0","10","187","227","0","107"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","48","543","0","0","0","0","0","39","0","39","190","205","0","109"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","37","540","20","0","9.185486262963046","0","0.5702858794387777","12","0","12","187","225","0","116"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","49","545","0","0","0","0","0","43","0","43","192","203","0","107"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","38","548","20","0","9.373910746975762","0","0.5598187566231508","14","0","14","187","226","0","121"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","50","547","0","0","0","0","0","43","0","43","194","203","0","107"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","39","548","20","0","9.574009104930159","0","0.5492904825846496","16","0","16","192","218","0","122"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","51","560","0","0","0","0","0","52","0","52","194","203","0","111"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","52","560","0","0","0","0","0","53","0","53","195","204","0","108"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","40","555","20","0","10.224036854957907","0","0.5162626813813371","16","0","16","193","216","0","130"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","53","557","0","0","0","0","0","55","0","55","194","204","0","104"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","41","563","20","0","10.32673732991407","0","0.5094762675733634","20","0","20","193","215","0","135"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","54","557","0","0","0","0","0","54","0","54","196","205","0","102"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","55","558","0","0","0","0","0","51","0","51","197","209","0","101"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","42","570","20","0","10.682835153658953","0","0.4913320556957205","23","0","23","195","213","0","139"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","56","574","0","0","0","0","0","57","0","57","200","207","0","110"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","43","572","20","0","10.79001554001554","0","0.485065825784009","26","0","26","195","211","0","140"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","57","577","0","0","0","0","0","60","0","60","202","206","0","109"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","44","577","20","0","11.159367288758862","0","0.46628492685125733","24","0","24","195","210","0","148"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","58","575","0","0","0","0","0","67","0","67","202","207","0","99"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","45","583","20","0","11.561292792175145","0","0.4452496067338056","21","0","21","196","209","0","157"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","59","585","0","0","0","0","0","71","0","71","203","212","0","99"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","46","589","20","0","12.056079949462301","0","0.4194584828635751","19","0","19","199","207","0","164"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","60","592","0","0","0","0","0","71","0","71","206","212","0","103"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","47","596","20","0","12.389262126762128","0","0.40150981780507244","17","0","17","200","207","0","172"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","61","595","0","0","0","0","0","73","0","73","206","215","0","101"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","62","591","0","0","0","0","0","67","0","67","209","214","0","101"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","48","603","20","0","12.594258519258519","0","0.3903625649273277","14","0","14","201","209","0","179"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","63","589","0","0","0","0","0","66","0","66","210","214","0","99"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","49","604","20","0","12.861269844706378","0","0.37645463601104756","10","0","10","202","207","0","185"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","64","596","0","0","0","0","0","58","0","58","212","216","0","110"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","50","611","20","0","13.185380836016858","0","0.3595536899997095","8","0","8","203","206","0","194"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","65","595","0","0","0","0","0","60","0","60","215","217","0","103"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","51","617","20","0","13.603343020890806","0","0.3378105334554451","5","0","5","205","205","0","202"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","66","601","1","0","0","0","0","59","0","59","214","221","0","107"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","67","602","0","0","0","0","0","59","0","59","218","219","0","106"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","52","622","20","0","14.051607972351006","0","0.3143101280552219","4","0","4","207","203","0","208"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","68","610","0","0","0","0","0","58","0","58","222","221","0","109"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","53","627","20","0","14.144016441075264","0","0.30851468434899776","1","0","1","207","205","0","214"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","69","612","0","0","0","0","0","60","0","60","224","223","0","105"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","54","634","20","0","14.823698490951823","0","0.27424080966985875","0","0","0","208","204","0","222"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","70","610","0","0","0","0","0","61","0","61","224","224","0","101"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","55","641","20","0","15.010719320363954","0","0.2631760744652952","0","0","0","207","204","0","230"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","71","618","0","0","0","0","0","63","0","63","226","225","0","104"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","72","619","0","0","0","0","0","67","0","67","228","224","0","100"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","56","652","20","0","15.291696072021487","0","0.2485740001221904","0","0","0","208","201","0","243"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","73","620","0","0","0","0","0","70","0","70","229","225","0","96"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","57","663","20","0","15.58874936278728","0","0.2329912318667456","0","0","0","210","197","0","256"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","74","618","0","0","0","0","0","66","0","66","233","224","0","95"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","75","612","0","0","0","0","0","53","0","53","234","226","0","99"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","58","664","20","0","15.729909327917497","0","0.22515409519746257","0","0","0","214","192","0","258"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","76","621","0","0","0","0","0","50","0","50","235","229","0","107"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","59","677","20","0","15.960136779858145","0","0.21325086576696606","0","0","0","218","188","0","271"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","77","626","0","0","0","0","0","46","0","46","240","227","0","113"
